Unnamed: 0,material_id,reduced_formula,space_group,chemical_system,num_sites,energy_above_hull,dft_band_gap,dft_bulk_modulus,dft_mag_density,hhi_score,ml_bulk_modulus,mean_h_affinity,best_site_h_affinity,frac_thermoneutral_sites,d_band_proxy,valence_electron_conc,carbon_fraction,mean_co_affinity,best_site_co_affinity,frac_co_selective_sites,mean_cooh_affinity,co2rr_selectivity,metal_mixing_entropy,n_metal_species,expensive_metal_fraction,metal_cn_mean,mc_coordination,metal_packing_density,metal_percolation_dim
3431,alex<agm003296587>,Cr3C,Cmcm,C-Cr,8,0.0461945889120372,,,-5.505275680435898e-06,3842.6263251566975,311.8741760253906,-0.05,-0.05,1.0,-1.1,5.5,0.25,-0.4000000000000001,-0.4,0.0,0.0,-0.05,0.0,1,0.0,14.333333333333334,2.6666666666666665,0.0760047263248629,3.0
3434,alex<agm003203538>,Cr2C,Pnnm,C-Cr,6,0.0037862015000005,,,0.0008034883251411,3727.263456344626,254.5624847412109,-0.05,-0.05,1.0,-1.1,5.333333333333333,0.3333333333333333,-0.4,-0.4,0.0,0.0,-0.05,0.0,1,0.0,15.0,3.0,0.067782613769227,3.0
3430,mp-1189286,Cr3C,Pnma,C-Cr,16,0.0134918120370368,0.0,,-1.676577986882206e-07,3842.6263251566975,306.4666442871094,-0.05,-0.05,1.0,-1.1,5.5,0.25,-0.4000000000000001,-0.4,0.0,0.0,-0.05,0.0,1,0.0,14.333333333333334,2.6666666666666665,0.0767898314602537,3.0
3435,alex<agm002139963>,Cr2C,Pbcn,C-Cr,12,0.0136100306666673,,,6.201766205776542e-06,3727.263456344626,249.32711791992188,-0.05,-0.05,1.0,-1.1,5.333333333333333,0.3333333333333333,-0.4,-0.4,0.0,0.0,-0.05,0.0,1,0.0,15.0,3.0,0.0676402584819824,3.0
3437,mp-570112,Cr3C2,Cmcm,C-Cr,10,0.029720632,0.0,308.9134033829652,,3619.597888336017,310.484130859375,-0.05,-0.05,1.0,-1.1,5.2,0.4,-0.4000000000000001,-0.4,0.0,0.0,-0.05,0.0,1,0.0,16.0,4.666666666666667,0.0668423313125104,3.0
3438,alex<agm005217812>,Cr3C2,R-3c,C-Cr,10,0.0833191069999994,,,0.0274260190642643,3619.597888336017,275.4093017578125,-0.05,-0.05,1.0,-1.1,5.2,0.4,-0.4000000000000001,-0.4,0.0,0.0,-0.05,0.0,1,0.0,16.0,4.0,0.0634048346457846,3.0
3436,mp-20937,Cr3C2,Pnma,C-Cr,20,0.0,0.0,319.8210813019853,0.0038000142633866,3619.597888336017,346.7807922363281,-0.05,-0.05,1.0,-1.1,5.2,0.4,-0.4000000000000001,-0.4,0.0,0.0,-0.05,0.0,1,0.0,15.0,5.0,0.0681988770760922,3.0
3429,mp-1018050,CrC,P-6m2,C-Cr,2,0.0799137612499976,0.0,341.7788932070904,-1.3284271633075465e-06,3424.469900073117,363.4673156738281,-0.05,-0.05,1.0,-1.1,5.0,0.5,-0.4,-0.4,0.0,0.0,-0.05,0.0,1,0.0,14.0,6.0,0.0601098347104419,
3432,mp-1226378,Cr2C,P-3m1,C-Cr,3,0.0638892181666666,0.0,,-0.0004354766183054,3727.263456344626,246.1881103515625,-0.05,-0.05,1.0,-1.1,5.333333333333333,0.3333333333333333,-0.4,-0.4,0.0,0.0,-0.05,0.0,1,0.0,15.0,3.0,0.0675603552256633,1.0
4262,mp-1008632,V2C,P-3m1,C-V,3,0.018435784166666,0.0,218.97352766400968,-0.0001097036292117,3094.179484905662,218.5039978027344,-0.1,-0.1,0.0,-1.4,4.666666666666667,0.3333333333333333,-0.45,-0.45,0.0,-0.05,-0.05,0.0,1,0.0,15.0,3.0,0.0608838972415836,0.0
4267,mp-1282,VC,Fm-3m,C-V,2,0.0897535224305574,0.0,306.75864520688685,-6.101656699628433e-08,2846.706707628963,304.4938049316406,-0.1,-0.1,0.0,-1.4,4.5,0.5,-0.45,-0.45,0.0,-0.05,-0.05,0.0,1,0.0,18.0,6.0,0.0554843711146722,
4265,mp-1216471,V4C3,R-3m,C-V,7,0.0892069763690486,0.0,,0.0005641226970947,2964.2455465660487,251.1233367919922,-0.1,-0.1,0.0,-1.4,4.571428571428571,0.4285714285714285,-0.45,-0.45,0.0,-0.05,-0.05,0.0,1,0.0,16.5,4.5,0.0575289066869711,3.0
4264,alex<agm002140648>,V2C,Pnma,C-V,12,0.0,,,0.0005845231082675,3094.179484905662,239.606689453125,-0.1,-0.1,0.0,-1.4,4.666666666666667,0.3333333333333333,-0.45,-0.45,0.0,-0.05,-0.05,0.0,1,0.0,15.0,3.0,0.0608477339947917,3.0
4266,alex<agm003290135>,V4C3,C2/m,C-V,7,0.0873153906547621,,,-5.424611161077e-06,2964.2455465660487,247.58737182617188,-0.1,-0.1,0.0,-1.4,4.571428571428571,0.4285714285714285,-0.45,-0.45,0.0,-0.05,-0.05,0.0,1,0.0,16.5,4.5,0.0565947956357518,2.0
4263,mp-20648,V2C,Pbcn,C-V,12,0.0007290433333331,0.0,244.05539896459453,-1.2694255529119998e-05,3094.179484905662,244.2206268310547,-0.1,-0.1,0.0,-1.4,4.666666666666667,0.3333333333333333,-0.45,-0.45,0.0,-0.05,-0.05,0.0,1,0.0,15.0,3.0,0.0607126467585101,3.0
4269,alex<agm003287927>,V3C2,P2_1/m,C-V,10,0.0777525147083348,,,-4.770752549974211e-06,3006.086089640756,232.21588134765625,-0.1,-0.1,0.0,-1.3999999999999997,4.6,0.4,-0.45,-0.45,0.0,-0.05,-0.05,0.0,1,0.0,16.0,4.0,0.057838988284667,3.0
3433,alex<agm003266885>,Cr2C,P-31m,C-Cr,9,0.0328892614999993,,,0.0004219396286746,3727.263456344626,243.27468872070312,-0.05,-0.05,1.0,-1.1,5.333333333333333,0.3333333333333333,-0.4000000000000001,-0.4,0.0,0.0,-0.05,0.0,1,0.0,15.0,3.0,0.0673809692460608,3.0
4271,alex<agm005217809>,V3C2,R-3c,C-V,10,0.0394169387083351,,,-4.617676183437439e-05,3006.086089640756,233.2952117919922,-0.1,-0.1,0.0,-1.3999999999999997,4.6,0.4,-0.45,-0.45,0.0,-0.05,-0.05,0.0,1,0.0,16.0,4.0,0.0581705622123014,3.0
4272,alex<agm003298269>,V4C,I4_1/amd,C-V,10,0.0969961334999975,,,-2.014022273502347e-06,3238.5783543820994,192.3199157714844,-0.1,-0.1,0.0,-1.4,4.8,0.2,-0.45,-0.45,0.0,-0.05,-0.05,0.0,1,0.0,12.0,2.0,0.0668000755920488,3.0
